Elegiarum et carminum libri tres, versio electronica	Šižgorić, Juraj; Marulić, Marko; Mihetić, Ambroz; Tideo Acciarini; Andrea Banda di Verona; Hilarion di Vicenza; Raffaele Zovenzoni; Giliberto Grineo	1477	poesis - carmen; poesis - elegia			1585 versus, verborum 10077	Veljko Gortan		1477	c. 1445-1509?; 1450-1524; c. 1420-post 1487	poesis		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	sisgorgeleg	sisgor-g-eleg.xml	199825	70
Epigramma in morte Domiti Calderini, versio electronica	Gučetić, Ivan	1478	poesis - epigramma			10 versus, verborum 67	Darko Novaković		1478-06	1451-1502	poesis		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	gotiusiepigramma	gotius-i-epigramma.xml	3064	71
Repertorium, versio electronica	Marulić, Marko	1480	prosa oratio - loci communes			Verborum 315700	Branimir Glavičić		1480	1450-1524	prosa		croala			Litterae renatae (1400-1600) Saeculum 16 (1501-1600) 1450-1500 1501-1550	marulmarrepert	marul-mar-repert.xml	3406382	72
Villae aedificatae inscriptio, versio electronica	Cipiko, Koriolan	1481	prosa oratio – inscriptio		Trogir	Verborum 18	Vid Vuletić-Vukasović		1481	1425-1493	prosa		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	cipikokinscraedif	cipiko-k-inscr-aedif.xml	2669	73
Panegyricus in senatum Venetiarum, versio electronica	Cipiko, Alviz	1482	poesis - elegia; poesis - epigramma; prosa - epistula			263 versus, verborum 2026	Giuseppe Praga		1482	1456-1504	poesis paratextus prosaici paratextus poetici		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	cipikoapaneg	cipiko-a-paneg.xml	29246	74
Carmina e cod. Vat. lat. 1678, versio electronica	Crijević, Ilija	1484	poesis - elegia; poesis - epigramma; poesis - lyrica; poesis - epica		Dubrovnik	7675 versus, verborum 46525	Darko Novaković		1484 1520	1463-1520	poesis paratextus prosaici		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) Saeculum 16 (1501-1600) 1451-1500 1501-1550	crijevicarm1678	crijev-i-carm-1678.xml	843950	75
De situ Illyriae et civitate Sibenici, versio electronica	Šižgorić, Juraj	1485	prosa oratio - epistula		Šibenik	Verborum 687	Daniele Farlati		1485-03-01	c. 1445-1509?	prosa		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	sisgorgmiraculum	sisgor-g-miraculum.xml	8771	76
Ambrosii Miches Cassandrae Fidelis epistulae, versio electronica	Mihetić, Ambroz; Cassandra Fedele	1487	prosa oratio - epistula			Verborum 743	Iac. Philippus Tomasinus		1487	c. 1420-post 1487; c. 1465-1558	prosa		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	michetacassand	michet-a-cassand.xml	8501	77
Odae de apostolis, versio electronica	Šižgorić, Juraj	1487	poesis - oda; prosa oratio - epistula			526 versus, verborum 2640	Veljko Gortan		1487	c. 1445-1509?	poesis paratextus prosaici		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	sisgorgodae	sisgor-g-odae.xml	39010	78
Epigrammata minora, versio electronica	Šižgorić, Juraj; Azzo Phorestus; Georgius Priolus; Petrus Barocius	1487	poesis - epigramma; poesis - elegia			77 versus, verborum 589	Paolo Tremoli Olga Perić		1487	c. 1445-1509?	poesis		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	sisgorgepigrm	sisgor-g-epigr-m.xml	11315	79
De situ Illyriae et civitate Sibenici, versio electronica	Šižgorić, Juraj	1487	prosa oratio - descriptio; prosa oratio - chorographia		Šibenik	Verborum 3721	Veljko Gortan		1487-05-14	c. 1445-1509?	prosa		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	sisgorgdesitu	sisgor-g-de-situ.xml	44004	80
De raptu Cerberi, editio electronica	Bunić, Jakov	1490	poesis - epica		Dubrovnik	1034 versus, verborum 6750	Branimir Glavičić		1490	1469-1534	poesis		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	bunicjder	bunic-j-de-r.xml	76011	81
Baptistinus, versio electronica	Gundulić, Fran Lucijan; Crijević, Ilija	1490	prosa oratio - novella; poesis - epigramma		Dubrovnik	13 versus, verborum 3401	Dora Ivanišević Petra Šoštarić		1490	1451/2-1505; 1463-1520	prosa paratextus poetici		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	gondolflbapt	gondol-f-bapt.xml	38561	82
Vitum Ruschium laudat, versio electronica	Selimbrić, Šimun	1490	poesis - carmen			70 versus, verborum 554	Neven Jovanović		1490	m. 1496	poesis		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	selimbricsvit	selimbric-s-vit.xml	10268	83
Villae renovatae inscriptio, versio electronica	Cipiko, Koriolan	1492	prosa oratio – inscriptio		Trogir	Verborum 18	Vid Vuletić-Vukasović		1492	1425-1493	prosa		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	cipikokinscr	cipiko-k-inscr.xml	2680	84
